"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-3340.DPorder";"session.node-9946.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"21";"20";"module.training_block1.exec-7205.GoNoGo1";"1249";"2014-02-13 16:41:59.079";"33";"1";"FINISHED";"RIGHT";"success";"296";"0";"2014-02-13 16:41:57.828";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"22";"21";"module.training_block1.exec-7205.GoNoGo1";"1249";"2014-02-13 16:42:01.646";"29";"0";"FINISHED";"LEFT";"success";"266";"0";"2014-02-13 16:42:00.396";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"23";"22";"module.training_block1.exec-7205.GoNoGo1";"1249";"2014-02-13 16:42:04.211";"21";"0";"FINISHED";"LEFT";"success";"341";"0";"2014-02-13 16:42:02.961";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"24";"23";"module.training_block1.exec-7205.GoNoGo1";"1249";"2014-02-13 16:42:06.763";"9";"0";"FINISHED";"LEFT";"success";"281";"0";"2014-02-13 16:42:05.513";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"25";"24";"module.training_block1.exec-7205.GoNoGo1";"1249";"2014-02-13 16:42:09.325";"32";"1";"FINISHED";"RIGHT";"success";"310";"0";"2014-02-13 16:42:08.075";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"26";"25";"module.training_block1.exec-7205.GoNoGo1";"1249";"2014-02-13 16:42:11.886";"16";"1";"FINISHED";"RIGHT";"success";"460";"0";"2014-02-13 16:42:10.636";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"27";"26";"module.training_block1.exec-7205.GoNoGo1";"1249";"2014-02-13 16:42:14.448";"18";"1";"FINISHED";"RIGHT";"success";"329";"0";"2014-02-13 16:42:13.198";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"28";"27";"module.training_block1.exec-7205.GoNoGo1";"1249";"2014-02-13 16:42:17.005";"12";"0";"FINISHED";"LEFT";"success";"278";"0";"2014-02-13 16:42:15.755";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"29";"28";"module.training_block1.exec-7205.GoNoGo1";"1249";"2014-02-13 16:42:19.564";"34";"0";"FINISHED";"LEFT";"success";"285";"0";"2014-02-13 16:42:18.314";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_PPG";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-13 16:40:28.430";"2014-02-13 16:52:13.254";"1";"5";"0";"30";"29";"module.training_block1.exec-7205.GoNoGo1";"1250";"2014-02-13 16:42:22.118";"11";"1";"FINISHED";"RIGHT";"success";"315";"0";"2014-02-13 16:42:20.868";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
