"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-5431.conditionType";"session.node-9724.blockOrder";"session.node-9724.IATorder";"session.node-9724.keyOrder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"25";"24";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:05:37.333";"12";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:36.083";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"26";"25";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:05:39.833";"0";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:38.583";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"27";"26";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:05:42.333";"33";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:41.083";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"28";"27";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:05:44.833";"20";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:43.583";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"29";"28";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:05:47.333";"31";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:46.083";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"30";"29";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:05:49.833";"9";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:48.583";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"31";"30";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:05:52.333";"19";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:51.083";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"32";"31";"module.training_block1.exec-4911.GoNoGo1";"1248";"2013-11-25 13:05:54.833";"23";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:53.583";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"33";"32";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:05:57.349";"16";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:56.099";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"34";"33";"module.training_block1.exec-4911.GoNoGo1";"1248";"2013-11-25 13:05:59.864";"3";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:05:58.614";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"35";"34";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:06:02.364";"29";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:06:01.114";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
