"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-7982.blockOrder";"session.node-7982.IATorder";"session.node-7982.keyOrder";"session.node-9207.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime";"trial.IAT_block1.durationTime";"trial.IAT_block1.endTime";"trial.IAT_block1.outcome";"trial.IAT_block1.response";"trial.IAT_block1.result";"trial.IAT_block1.RT";"trial.IAT_block1.startTime";"trial.IAT_block1.Stimfile";"trial.IAT_block1.stimType";"trial.IAT_block1.word";"trial.IAT_Practice1.durationTime";"trial.IAT_Practice1.endTime";"trial.IAT_Practice1.outcome";"trial.IAT_Practice1.response";"trial.IAT_Practice1.result";"trial.IAT_Practice1.RT";"trial.IAT_Practice1.startTime";"trial.IAT_Practice1.Stimfile";"trial.IAT_Practice1.stimType";"trial.IAT_Practice1.word"
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"21";"20";"module.training_block1.exec-5543.GoNoGo1";"1250";"2014-07-21 11:20:29.470";"NST_correctLoc";"29";"0";"FINISHED";"LEFT";"success";"303";"0";"2014-07-21 11:20:28.220";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"22";"21";"module.training_block1.exec-5543.GoNoGo1";"1249";"2014-07-21 11:20:32.020";"NST_correctLoc";"2";"0";"FINISHED";"LEFT";"success";"366";"0";"2014-07-21 11:20:30.770";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"23";"22";"module.training_block1.exec-5543.GoNoGo1";"1249";"2014-07-21 11:20:34.571";"NST_correctLoc";"23";"0";"FINISHED";"LEFT";"success";"277";"0";"2014-07-21 11:20:33.321";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"24";"23";"module.training_block1.exec-5543.GoNoGo1";"1249";"2014-07-21 11:20:37.125";"NST_correctLoc";"11";"1";"FINISHED";"RIGHT";"success";"323";"0";"2014-07-21 11:20:35.875";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"25";"24";"module.training_block1.exec-5543.GoNoGo1";"1249";"2014-07-21 11:20:39.672";"NST_correctLoc";"14";"0";"FINISHED";"LEFT";"success";"328";"0";"2014-07-21 11:20:38.422";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"26";"25";"module.training_block1.exec-5543.GoNoGo1";"1250";"2014-07-21 11:20:42.220";"NST_correctLoc";"15";"0";"FINISHED";"LEFT";"success";"331";"0";"2014-07-21 11:20:40.970";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"27";"26";"module.training_block1.exec-5543.GoNoGo1";"1250";"2014-07-21 11:20:44.769";"NST_correctLoc";"20";"1";"FINISHED";"RIGHT";"success";"355";"0";"2014-07-21 11:20:43.519";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"28";"27";"module.training_block1.exec-5543.GoNoGo1";"1249";"2014-07-21 11:20:47.316";"NST_correctLoc";"16";"0";"FINISHED";"LEFT";"success";"329";"0";"2014-07-21 11:20:46.066";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"29";"28";"module.training_block1.exec-5543.GoNoGo1";"1250";"2014-07-21 11:20:49.865";"NST_correctLoc";"0";"1";"FINISHED";"RIGHT";"success";"353";"0";"2014-07-21 11:20:48.615";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FB12AS";;;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-07-21 11:18:25.021";"2014-07-21 11:30:25.999";"1";"0";"1";"0";"0";"30";"29";"module.training_block1.exec-5543.GoNoGo1";"1250";"2014-07-21 11:20:52.413";"NST_correctLoc";"4";"0";"FINISHED";"LEFT";"success";"346";"0";"2014-07-21 11:20:51.163";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
