"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-2074.blockOrder";"session.node-2074.IATorder";"session.node-2074.keyOrder";"session.node-2962.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"21";"20";"module.training_block1.exec-5562.GoNoGo1";"1249";"2014-10-02 13:22:23.083";"NST_correctLoc";"26";"0";"FINISHED";"LEFT";"success";"351";"0";"2014-10-02 13:22:21.833";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"22";"21";"module.training_block1.exec-5562.GoNoGo1";"1249";"2014-10-02 13:22:25.610";"NST_correctLoc";"17";"0";"FINISHED";"LEFT";"success";"345";"0";"2014-10-02 13:22:24.360";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"23";"22";"module.training_block1.exec-5562.GoNoGo1";"1249";"2014-10-02 13:22:28.159";"NST_correctLoc";"27";"1";"FINISHED";"RIGHT";"success";"356";"0";"2014-10-02 13:22:26.909";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"24";"23";"module.training_block1.exec-5562.GoNoGo1";"1250";"2014-10-02 13:22:30.685";"NST_correctLoc";"24";"1";"FINISHED";"RIGHT";"success";"342";"0";"2014-10-02 13:22:29.435";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"25";"24";"module.training_block1.exec-5562.GoNoGo1";"1249";"2014-10-02 13:22:33.210";"NST_correctLoc";"16";"0";"FINISHED";"LEFT";"success";"376";"0";"2014-10-02 13:22:31.960";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"26";"25";"module.training_block1.exec-5562.GoNoGo1";"1250";"2014-10-02 13:22:35.736";"NST_correctLoc";"25";"1";"FINISHED";"RIGHT";"success";"315";"0";"2014-10-02 13:22:34.486";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"27";"26";"module.training_block1.exec-5562.GoNoGo1";"1250";"2014-10-02 13:22:38.260";"NST_correctLoc";"3";"1";"FINISHED";"RIGHT";"success";"343";"0";"2014-10-02 13:22:37.010";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"28";"27";"module.training_block1.exec-5562.GoNoGo1";"1250";"2014-10-02 13:22:40.785";"NST_correctLoc";"13";"1";"FINISHED";"RIGHT";"success";"322";"0";"2014-10-02 13:22:39.534";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"29";"28";"module.training_block1.exec-5562.GoNoGo1";"1249";"2014-10-02 13:22:43.309";"NST_correctLoc";"6";"1";"FINISHED";"RIGHT";"success";"309";"0";"2014-10-02 13:22:42.059";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sagpjh";"1988";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-10-02 13:20:25.995";"2014-10-02 13:28:53.718";"1";"0";"1";"1";"0";"30";"29";"module.training_block1.exec-5562.GoNoGo1";"1249";"2014-10-02 13:22:45.833";"NST_correctLoc";"30";"0";"FINISHED";"LEFT";"success";"345";"0";"2014-10-02 13:22:44.583";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
