"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-3481.blockOrder";"session.node-3481.IATorder";"session.node-3481.keyOrder";"session.node-3829.blockOrder";"session.node-3829.IATorder";"session.node-3829.keyOrder";"session.node-6764.blockOrder";"session.node-6764.IATorder";"session.node-6764.keyOrder";"session.node-7631.conditionType";"session.node-8799.conditionType";"session.node-9337.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime";"trial.IAT_block1.durationTime";"trial.IAT_block1.endTime";"trial.IAT_block1.outcome";"trial.IAT_block1.response";"trial.IAT_block1.result";"trial.IAT_block1.RT";"trial.IAT_block1.startTime";"trial.IAT_block1.Stimfile";"trial.IAT_block1.stimType";"trial.IAT_block1.word";"trial.IAT_Practice1.durationTime";"trial.IAT_Practice1.endTime";"trial.IAT_Practice1.outcome";"trial.IAT_Practice1.response";"trial.IAT_Practice1.result";"trial.IAT_Practice1.RT";"trial.IAT_Practice1.startTime";"trial.IAT_Practice1.Stimfile";"trial.IAT_Practice1.stimType";"trial.IAT_Practice1.word"
"RGN078";"1987";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-09 23:00:03.474";"2014-09-09 23:12:46.377";"1";;;;;;;"1";"1";"0";;;"0";"201";"200";"module.IAT_Block1.exec-6493.IAT_block1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1701";"2014-09-09 23:11:05.926";"FINISHED";"NEUTRAL";"success";"397";"2014-09-09 23:11:04.224";"IAT_UPN.csv";"2";"A5";;;;;;;;;;
"RGN078";"1987";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-09 23:00:03.474";"2014-09-09 23:12:46.377";"1";;;;;;;"1";"1";"0";;;"0";"202";"201";"module.IAT_Block1.exec-6493.IAT_block1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1701";"2014-09-09 23:11:07.656";"FINISHED";"UNPLEASANT";"success";"518";"2014-09-09 23:11:05.954";"IAT_UPN.csv";"1";"bad";;;;;;;;;;
"RGN078";"1987";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-09 23:00:03.474";"2014-09-09 23:12:46.377";"1";;;;;;;"1";"1";"0";;;"0";"203";"202";"module.IAT_Block1.exec-6493.IAT_block1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1701";"2014-09-09 23:11:09.385";"FINISHED";"UNPLEASANT";"success";"626";"2014-09-09 23:11:07.683";"IAT_UPN.csv";"1";"horrible";;;;;;;;;;
"RGN078";"1987";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-09 23:00:03.474";"2014-09-09 23:12:46.377";"1";;;;;;;"1";"1";"0";;;"0";"204";"203";"module.IAT_Block1.exec-6493.IAT_block1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1703";"2014-09-09 23:11:11.157";"FINISHED";"NEUTRAL";"success";"629";"2014-09-09 23:11:09.453";"IAT_UPN.csv";"2";"A2";;;;;;;;;;
"RGN078";"1987";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-09 23:00:03.474";"2014-09-09 23:12:46.377";"1";;;;;;;"1";"1";"0";;;"0";"205";"204";"module.IAT_Block1.exec-6493.IAT_block1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1701";"2014-09-09 23:11:12.890";"FINISHED";"NEUTRAL";"success";"467";"2014-09-09 23:11:11.188";"IAT_UPN.csv";"2";"A2";;;;;;;;;;
"RGN078";"1987";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-09 23:00:03.474";"2014-09-09 23:12:46.377";"1";;;;;;;"1";"1";"0";;;"0";"206";"205";"module.IAT_Block1.exec-6493.IAT_block1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1702";"2014-09-09 23:11:14.623";"FINISHED";"UNPLEASANT";"success";"682";"2014-09-09 23:11:12.920";"IAT_UPN.csv";"1";"nasty";;;;;;;;;;
"RGN078";"1987";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-09 23:00:03.474";"2014-09-09 23:12:46.377";"1";;;;;;;"1";"1";"0";;;"0";"207";"206";"module.IAT_Block1.exec-6493.IAT_block1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1702";"2014-09-09 23:11:16.354";"FINISHED";"UNPLEASANT";"success";"683";"2014-09-09 23:11:14.652";"IAT_UPN.csv";"1";"awful";;;;;;;;;;
"RGN078";"1987";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-09 23:00:03.474";"2014-09-09 23:12:46.377";"1";;;;;;;"1";"1";"0";;;"0";"208";"207";"module.IAT_Block1.exec-6493.IAT_block1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1701";"2014-09-09 23:11:18.084";"FINISHED";"NEUTRAL";"success";"638";"2014-09-09 23:11:16.382";"IAT_UPN.csv";"2";"moderate";;;;;;;;;;
"RGN078";"1987";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-09 23:00:03.474";"2014-09-09 23:12:46.377";"1";;;;;;;"1";"1";"0";;;"0";"209";"208";"module.IAT_Block1.exec-6493.IAT_block1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1701";"2014-09-09 23:11:19.814";"FINISHED";"UNPLEASANT";"success";"568";"2014-09-09 23:11:18.112";"IAT_UPN.csv";"1";"horrible";;;;;;;;;;
"RGN078";"1987";;"Windows 7";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"3";"3";"2014-09-09 23:00:03.474";"2014-09-09 23:12:46.377";"1";;;;;;;"1";"1";"0";;;"0";"210";"209";"module.IAT_Block1.exec-6493.IAT_block1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1702";"2014-09-09 23:11:21.544";"FINISHED";"NEUTRAL";"success";"883";"2014-09-09 23:11:19.842";"IAT_UPN.csv";"2";"A4";;;;;;;;;;
