"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-6367.conditionType";"session.node-8593.blockOrder";"session.node-8593.IATorder";"session.node-8593.keyOrder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"21";"20";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:23:45.370";"NST_correctLoc";"23";"0";"FINISHED";"LEFT";"success";"389";"0";"2014-09-11 11:23:44.119";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"22";"21";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:23:47.931";"NST_correctLoc";"16";"1";"FINISHED";"RIGHT";"success";"282";"0";"2014-09-11 11:23:46.681";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"23";"22";"module.training_block1.exec-1355.GoNoGo1";"1249";"2014-09-11 11:23:50.478";"ST_failedStop";"2";"1";"FINISHED";"RIGHT";"failure";"391";"1";"2014-09-11 11:23:49.228";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"24";"23";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:23:53.033";"NST_correctLoc";"35";"1";"FINISHED";"RIGHT";"success";"365";"0";"2014-09-11 11:23:51.782";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"25";"24";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:23:55.591";"NST_correctLoc";"17";"1";"FINISHED";"RIGHT";"success";"304";"0";"2014-09-11 11:23:54.340";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"26";"25";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:23:58.141";"ST_failedStop";"4";"1";"FINISHED";"RIGHT";"failure";"353";"1";"2014-09-11 11:23:56.890";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"27";"26";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:24:00.688";"NST_correctLoc";"34";"0";"FINISHED";"LEFT";"success";"366";"0";"2014-09-11 11:23:59.438";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"28";"27";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:24:03.237";"ST_failedStop";"3";"0";"FINISHED";"LEFT";"failure";"369";"1";"2014-09-11 11:24:01.987";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"29";"28";"module.training_block1.exec-1355.GoNoGo1";"1251";"2014-09-11 11:24:05.792";"ST_failedStop";"7";"1";"FINISHED";"RIGHT";"failure";"326";"1";"2014-09-11 11:24:04.541";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"30";"29";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:24:08.344";"ST_failedStop";"20";"0";"FINISHED";"LEFT";"failure";"287";"1";"2014-09-11 11:24:07.093";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"31";"30";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:24:10.894";"NST_miss";"24";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-09-11 11:24:09.643";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"32";"31";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:24:13.448";"ST_failedStop";"32";"0";"FINISHED";"LEFT";"failure";"374";"1";"2014-09-11 11:24:12.198";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"33";"32";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:24:15.999";"ST_failedStop";"28";"0";"FINISHED";"LEFT";"failure";"368";"1";"2014-09-11 11:24:14.748";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"34";"33";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:24:18.544";"NST_correctLoc";"14";"0";"FINISHED";"LEFT";"success";"383";"0";"2014-09-11 11:24:17.294";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"35";"34";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:24:21.097";"NST_correctLoc";"15";"0";"FINISHED";"LEFT";"success";"374";"0";"2014-09-11 11:24:19.846";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"36";"35";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:24:23.648";"ST_failedStop";"5";"1";"FINISHED";"RIGHT";"failure";"359";"1";"2014-09-11 11:24:22.397";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"37";"36";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:24:26.213";"ST_failedStop";"0";"1";"FINISHED";"RIGHT";"failure";"362";"1";"2014-09-11 11:24:24.962";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"38";"37";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:24:28.764";"NST_correctLoc";"10";"1";"FINISHED";"RIGHT";"success";"371";"0";"2014-09-11 11:24:27.513";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lucky284";"1992";;"Mac OS X";"Rachel's Experiment (SCIAT)";"1.0";"1";"1";"1";"1";"1";"1";"2014-09-11 11:17:12.420";"2014-09-11 11:25:27.145";"1";"1";"1";"1";"1";"39";"38";"module.training_block1.exec-1355.GoNoGo1";"1250";"2014-09-11 11:24:31.326";"NST_correctLoc";"25";"0";"FINISHED";"LEFT";"success";"426";"0";"2014-09-11 11:24:30.075";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
