"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-7084.blockOrder";"session.node-7084.IATorder";"session.node-7084.keyOrder";"session.node-7320.conditionType";"session.node-7865.blockOrder";"session.node-7865.IATorder";"session.node-7865.keyOrder";"session.node-7868.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"11";"10";"module.GoNoGopractice.exec-5170.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1950";"2014-02-22 09:19:28.859";"34";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:19:26.908";"3";;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"12";"11";"module.GoNoGopractice.exec-5170.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1952";"2014-02-22 09:19:32.120";"23";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:19:30.168";"3";;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"13";"12";"module.GoNoGopractice.exec-5170.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1952";"2014-02-22 09:19:35.406";"13";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:19:33.454";"2";;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"14";"13";"module.GoNoGopractice.exec-5170.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1951";"2014-02-22 09:19:38.651";"3";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:19:36.699";"1";;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"15";"14";"module.GoNoGopractice.exec-5170.GoNoGo_Practice";;;;;;;;;;;;;;;;;;;;;;;"1949";"2014-02-22 09:19:41.889";"27";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:19:39.939";"3";;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"16";"15";"module.training_block1.exec-4565.GoNoGo1";"1251";"2014-02-22 09:19:56.236";"21";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:19:54.985";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"17";"16";"module.training_block1.exec-4565.GoNoGo1";"1250";"2014-02-22 09:19:58.784";"23";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:19:57.534";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"18";"17";"module.training_block1.exec-4565.GoNoGo1";"1249";"2014-02-22 09:20:01.326";"24";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:20:00.075";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"19";"18";"module.training_block1.exec-4565.GoNoGo1";"1249";"2014-02-22 09:20:03.856";"3";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:20:02.606";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"20";"19";"module.training_block1.exec-4565.GoNoGo1";"1249";"2014-02-22 09:20:06.391";"7";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:20:05.141";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
