"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-7373.blockOrder";"session.node-7373.IATorder";"session.node-7373.keyOrder";"session.node-9826.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"21";"20";"module.training_block1.exec-7505.GoNoGo1";"1247";"2014-02-16 17:31:17.764";"30";"1";"FINISHED";"RIGHT";"success";"436";"0";"2014-02-16 17:31:16.514";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"22";"21";"module.training_block1.exec-7505.GoNoGo1";"1240";"2014-02-16 17:31:20.314";"22";"1";"FINISHED";"RIGHT";"success";"357";"0";"2014-02-16 17:31:19.064";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"23";"22";"module.training_block1.exec-7505.GoNoGo1";"1241";"2014-02-16 17:31:22.874";"7";"1";"FINISHED";"RIGHT";"success";"321";"0";"2014-02-16 17:31:21.624";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"24";"23";"module.training_block1.exec-7505.GoNoGo1";"1242";"2014-02-16 17:31:25.424";"0";"0";"FINISHED";"LEFT";"success";"347";"0";"2014-02-16 17:31:24.174";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"25";"24";"module.training_block1.exec-7505.GoNoGo1";"1248";"2014-02-16 17:31:27.974";"26";"1";"FINISHED";"RIGHT";"success";"333";"0";"2014-02-16 17:31:26.724";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"26";"25";"module.training_block1.exec-7505.GoNoGo1";"1248";"2014-02-16 17:31:30.524";"2";"0";"FINISHED";"LEFT";"success";"359";"0";"2014-02-16 17:31:29.274";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"27";"26";"module.training_block1.exec-7505.GoNoGo1";"1242";"2014-02-16 17:31:33.084";"1";"0";"FINISHED";"LEFT";"success";"345";"0";"2014-02-16 17:31:31.834";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"28";"27";"module.training_block1.exec-7505.GoNoGo1";"1243";"2014-02-16 17:31:35.644";"28";"0";"FINISHED";"LEFT";"success";"355";"0";"2014-02-16 17:31:34.394";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"29";"28";"module.training_block1.exec-7505.GoNoGo1";"1242";"2014-02-16 17:31:38.194";"5";"1";"FINISHED";"RIGHT";"success";"352";"0";"2014-02-16 17:31:36.944";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"30";"29";"module.training_block1.exec-7505.GoNoGo1";"1242";"2014-02-16 17:31:40.744";"12";"0";"FINISHED";"LEFT";"success";"411";"0";"2014-02-16 17:31:39.494";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"31";"30";"module.training_block1.exec-7505.GoNoGo1";"1247";"2014-02-16 17:31:43.294";"3";"1";"FINISHED";"RIGHT";"success";"354";"0";"2014-02-16 17:31:42.044";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"32";"31";"module.training_block1.exec-7505.GoNoGo1";"1241";"2014-02-16 17:31:45.844";"8";"0";"FINISHED";"LEFT";"success";"315";"0";"2014-02-16 17:31:44.594";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"33";"32";"module.training_block1.exec-7505.GoNoGo1";"1242";"2014-02-16 17:31:48.394";"9";"0";"FINISHED";"LEFT";"success";"381";"0";"2014-02-16 17:31:47.144";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"34";"33";"module.training_block1.exec-7505.GoNoGo1";"1243";"2014-02-16 17:31:50.944";"35";"1";"FINISHED";"RIGHT";"success";"350";"0";"2014-02-16 17:31:49.694";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"35";"34";"module.training_block1.exec-7505.GoNoGo1";"1248";"2014-02-16 17:31:53.504";"25";"0";"FINISHED";"LEFT";"success";"390";"0";"2014-02-16 17:31:52.254";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"36";"35";"module.training_block1.exec-7505.GoNoGo1";"1241";"2014-02-16 17:31:56.064";"15";"1";"FINISHED";"RIGHT";"success";"412";"0";"2014-02-16 17:31:54.814";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"37";"36";"module.training_block1.exec-7505.GoNoGo1";"1242";"2014-02-16 17:31:58.624";"24";"0";"FINISHED";"LEFT";"success";"355";"0";"2014-02-16 17:31:57.374";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"38";"37";"module.training_block1.exec-7505.GoNoGo1";"1242";"2014-02-16 17:32:01.174";"11";"1";"FINISHED";"RIGHT";"success";"318";"0";"2014-02-16 17:31:59.924";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"39";"38";"module.training_block1.exec-7505.GoNoGo1";"1242";"2014-02-16 17:32:03.734";"20";"0";"FINISHED";"LEFT";"success";"358";"0";"2014-02-16 17:32:02.484";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_jdm";"1967";;"Windows Vista";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2014-02-16 17:29:16.084";"2014-02-16 17:35:00.644";"1";"1";"0";"1";"0";"40";"39";"module.training_block1.exec-7505.GoNoGo1";"1248";"2014-02-16 17:32:06.284";"23";"0";"FINISHED";"LEFT";"success";"413";"0";"2014-02-16 17:32:05.034";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
