"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-4312.DevalQorder";"session.node-5463.conditionType";"session.node-6045.conditionType";"session.node-7832.DevalQorder";"trial.id";"trial.index";"trial.name";"trial.deval1.durationTime";"trial.deval1.endTime";"trial.deval1.icon";"trial.deval1.Resp_Attractive";"trial.deval1.Resp_Eat";"trial.deval1.Resp_Taste";"trial.deval1.RT_Attractive";"trial.deval1.RT_Eat";"trial.deval1.RT_Taste";"trial.deval1.startTime";"trial.deval1.stimulus type";"trial.devalPractice.durationTime";"trial.devalPractice.endTime";"trial.devalPractice.icon";"trial.devalPractice.Resp_Attractive";"trial.devalPractice.Resp_Eat";"trial.devalPractice.Resp_Taste";"trial.devalPractice.RT_Attractive";"trial.devalPractice.RT_Eat";"trial.devalPractice.RT_Taste";"trial.devalPractice.startTime";"trial.devalPractice.stimulus type";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"21";"20";"module.training_block1.exec-8427.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-10-06 00:17:56.691";"NST_correctLoc";"13";"1";"FINISHED";"RIGHT";"success";"602";"0";"2014-10-06 00:17:55.440";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"22";"21";"module.training_block1.exec-8427.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1249";"2014-10-06 00:17:59.280";"NST_correctLoc";"10";"0";"FINISHED";"LEFT";"success";"468";"0";"2014-10-06 00:17:58.029";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"23";"22";"module.training_block1.exec-8427.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-10-06 00:18:01.858";"NST_correctLoc";"23";"1";"FINISHED";"RIGHT";"success";"487";"0";"2014-10-06 00:18:00.608";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"24";"23";"module.training_block1.exec-8427.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1249";"2014-10-06 00:18:04.440";"ST_correctStop";"8";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-06 00:18:03.190";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"25";"24";"module.training_block1.exec-8427.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-10-06 00:18:07.024";"NST_correctLoc";"24";"0";"FINISHED";"LEFT";"success";"546";"0";"2014-10-06 00:18:05.774";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"26";"25";"module.training_block1.exec-8427.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-10-06 00:18:09.609";"NST_correctLoc";"31";"0";"FINISHED";"LEFT";"success";"482";"0";"2014-10-06 00:18:08.358";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"27";"26";"module.training_block1.exec-8427.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-10-06 00:18:12.190";"ST_correctStop";"28";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-06 00:18:10.939";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"28";"27";"module.training_block1.exec-8427.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-10-06 00:18:14.773";"NST_correctLoc";"15";"0";"FINISHED";"LEFT";"success";"494";"0";"2014-10-06 00:18:13.523";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"29";"28";"module.training_block1.exec-8427.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1249";"2014-10-06 00:18:17.358";"ST_failedStop";"2";"0";"FINISHED";"LEFT";"failure";"409";"1";"2014-10-06 00:18:16.108";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"shuan01";"1988";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"2";"2";"2014-10-06 00:15:38.883";"2014-10-06 00:30:44.833";"1";;"1";;"1";"30";"29";"module.training_block1.exec-8427.GoNoGo1";;;;;;;;;;;;;;;;;;;;;;;"1249";"2014-10-06 00:18:19.940";"NST_correctLoc";"9";"0";"FINISHED";"LEFT";"success";"753";"0";"2014-10-06 00:18:18.689";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
