"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-1588.conditionType";"session.node-5187.DPorder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"21";"20";"module.training_block1.exec-6146.GoNoGo1";"1250";"2014-02-11 17:56:14.382";"8";"1";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 17:56:13.131";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"22";"21";"module.training_block1.exec-6146.GoNoGo1";"1249";"2014-02-11 17:56:16.921";"12";"1";"FINISHED";"RIGHT";"success";"629";"0";"2014-02-11 17:56:15.671";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"23";"22";"module.training_block1.exec-6146.GoNoGo1";"1250";"2014-02-11 17:56:19.459";"9";"1";"FINISHED";"RIGHT";"success";"710";"0";"2014-02-11 17:56:18.209";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"24";"23";"module.training_block1.exec-6146.GoNoGo1";"1249";"2014-02-11 17:56:22.001";"31";"1";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 17:56:20.751";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"25";"24";"module.training_block1.exec-6146.GoNoGo1";"1250";"2014-02-11 17:56:24.528";"1";"1";"FINISHED";"RIGHT";"success";"1239";"0";"2014-02-11 17:56:23.278";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"26";"25";"module.training_block1.exec-6146.GoNoGo1";"1249";"2014-02-11 17:56:27.066";"19";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-11 17:56:25.816";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"27";"26";"module.training_block1.exec-6146.GoNoGo1";"1250";"2014-02-11 17:56:29.626";"17";"1";"FINISHED";"RIGHT";"success";"629";"0";"2014-02-11 17:56:28.376";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"28";"27";"module.training_block1.exec-6146.GoNoGo1";"1249";"2014-02-11 17:56:32.163";"4";"0";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 17:56:30.912";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"29";"28";"module.training_block1.exec-6146.GoNoGo1";"1249";"2014-02-11 17:56:34.691";"30";"1";"FINISHED";"NONE";"success";"0";"1";"2014-02-11 17:56:33.441";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yr2Prac_test";"1994";;"Windows 7";"Rachels Experiment - DP";"1.0";"2";"1";"1";"2";"1";"1";"2014-02-11 17:53:46.692";"2014-02-11 17:59:52.630";"1";"1";"1";"30";"29";"module.training_block1.exec-6146.GoNoGo1";"1249";"2014-02-11 17:56:37.233";"10";"1";"FINISHED";"RIGHT";"success";"515";"0";"2014-02-11 17:56:35.983";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
