"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-6799.DevalQorder";"session.node-8525.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"71";"70";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1250";"2014-10-16 12:52:55.932";"ST_correctStop";"5";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:52:54.681";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"72";"71";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1250";"2014-10-16 12:52:58.474";"NST_correctLoc";"12";"0";"FINISHED";"LEFT";"success";"567";"0";"2014-10-16 12:52:57.224";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"73";"72";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1249";"2014-10-16 12:53:01.024";"NST_correctLoc";"17";"0";"FINISHED";"LEFT";"success";"535";"0";"2014-10-16 12:52:59.774";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"74";"73";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1250";"2014-10-16 12:53:03.566";"ST_correctStop";"6";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:53:02.315";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"75";"74";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1250";"2014-10-16 12:53:06.111";"ST_correctStop";"3";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:53:04.860";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"76";"75";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1250";"2014-10-16 12:53:08.652";"NST_correctLoc";"16";"0";"FINISHED";"LEFT";"success";"597";"0";"2014-10-16 12:53:07.402";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"77";"76";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1250";"2014-10-16 12:53:11.190";"NST_correctLoc";"10";"0";"FINISHED";"LEFT";"success";"613";"0";"2014-10-16 12:53:09.939";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"78";"77";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1249";"2014-10-16 12:53:13.730";"NST_correctLoc";"26";"0";"FINISHED";"LEFT";"success";"708";"0";"2014-10-16 12:53:12.480";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"79";"78";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1249";"2014-10-16 12:53:16.269";"NST_correctLoc";"34";"1";"FINISHED";"RIGHT";"success";"475";"0";"2014-10-16 12:53:15.019";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"80";"79";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1250";"2014-10-16 12:53:18.811";"ST_correctStop";"32";"0";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:53:17.561";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
