"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-2099.conditionType";"session.node-8478.DPorder";"trial.id";"trial.index";"trial.name";"trial.DP_practice.durationTime";"trial.DP_practice.endTime";"trial.DP_practice.outcome";"trial.DP_practice.probeLoc";"trial.DP_practice.response";"trial.DP_practice.result";"trial.DP_practice.RT";"trial.DP_practice.startTime";"trial.DP_practice.stimDuration";"trial.DP_practice.wordLeft";"trial.DP_practice.wordRight";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo4.durationTime";"trial.GoNoGo4.endTime";"trial.GoNoGo4.Error Type";"trial.GoNoGo4.icon";"trial.GoNoGo4.location";"trial.GoNoGo4.outcome";"trial.GoNoGo4.response";"trial.GoNoGo4.result";"trial.GoNoGo4.RT";"trial.GoNoGo4.signal";"trial.GoNoGo4.startTime";"trial.GoNoGo4.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"21";"20";"module.training_block1.exec-5772.GoNoGo1";;;;;;;;;;;;"1249";"2015-02-12 19:41:18.166";"NST_correctLoc";"18";"0";"FINISHED";"LEFT";"success";"290";"0";"2015-02-12 19:41:16.916";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"22";"21";"module.training_block1.exec-5772.GoNoGo1";;;;;;;;;;;;"1250";"2015-02-12 19:41:20.726";"NST_correctLoc";"35";"0";"FINISHED";"LEFT";"success";"292";"0";"2015-02-12 19:41:19.476";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"23";"22";"module.training_block1.exec-5772.GoNoGo1";;;;;;;;;;;;"1249";"2015-02-12 19:41:23.287";"NST_correctLoc";"34";"1";"FINISHED";"RIGHT";"success";"297";"0";"2015-02-12 19:41:22.036";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"24";"23";"module.training_block1.exec-5772.GoNoGo1";;;;;;;;;;;;"1249";"2015-02-12 19:41:25.943";"NST_correctLoc";"11";"0";"FINISHED";"LEFT";"success";"288";"0";"2015-02-12 19:41:24.693";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"25";"24";"module.training_block1.exec-5772.GoNoGo1";;;;;;;;;;;;"1250";"2015-02-12 19:41:28.530";"NST_correctLoc";"4";"1";"FINISHED";"RIGHT";"success";"262";"0";"2015-02-12 19:41:27.280";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"26";"25";"module.training_block1.exec-5772.GoNoGo1";;;;;;;;;;;;"1250";"2015-02-12 19:41:31.087";"NST_correctLoc";"26";"1";"FINISHED";"RIGHT";"success";"274";"0";"2015-02-12 19:41:29.837";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"27";"26";"module.training_block1.exec-5772.GoNoGo1";;;;;;;;;;;;"1249";"2015-02-12 19:41:33.643";"NST_correctLoc";"7";"1";"FINISHED";"RIGHT";"success";"293";"0";"2015-02-12 19:41:32.393";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"28";"27";"module.training_block1.exec-5772.GoNoGo1";;;;;;;;;;;;"1249";"2015-02-12 19:41:36.199";"NST_correctLoc";"14";"0";"FINISHED";"LEFT";"success";"269";"0";"2015-02-12 19:41:34.949";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"29";"28";"module.training_block1.exec-5772.GoNoGo1";;;;;;;;;;;;"1249";"2015-02-12 19:41:38.756";"NST_correctLoc";"25";"1";"FINISHED";"RIGHT";"success";"275";"0";"2015-02-12 19:41:37.506";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"p1a2r3i4s5";"1992";;"Windows 7";"Rachel's Experiment (DP)";"1.0";"3";"1";"1";"3";"1";"1";"2015-02-12 19:38:58.220";"2015-02-12 19:51:08.988";"1";"0";"2";"30";"29";"module.training_block1.exec-5772.GoNoGo1";;;;;;;;;;;;"1252";"2015-02-12 19:41:41.313";"NST_correctLoc";"8";"0";"FINISHED";"LEFT";"success";"260";"0";"2015-02-12 19:41:40.061";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
